AA|2032|7.18|9.07|5.25|79.45|76.36|82.59|8.17|10.39|5.90|1.00|1.33|0.65
AA|2033|7.01|8.84|5.15|79.59|76.50|82.74|7.97|10.12|5.79|0.97|1.29|0.64
AA|2034|6.85|8.61|5.05|79.73|76.64|82.88|7.79|9.86|5.68|0.95|1.26|0.63
AA|2035|6.69|8.40|4.96|79.87|76.78|83.02|7.60|9.60|5.57|0.91|1.21|0.61
AA|2036|6.55|8.20|4.88|80.00|76.91|83.15|7.44|9.37|5.48|0.89|1.18|0.60
AA|2037|6.42|8.01|4.80|80.12|77.04|83.27|7.29|9.15|5.39|0.87|1.15|0.59
AA|2038|6.28|7.82|4.72|80.25|77.17|83.40|7.13|8.93|5.30|0.85|1.12|0.58
AA|2039|6.15|7.63|4.64|80.38|77.30|83.52|6.98|8.71|5.21|0.83|1.09|0.57
AA|2040|6.02|7.46|4.56|80.51|77.42|83.65|6.82|8.50|5.12|0.81|1.05|0.56
AA|2041|5.91|7.30|4.50|80.62|77.54|83.76|6.70|8.32|5.05|0.79|1.03|0.55
AA|2042|5.80|7.14|4.43|80.73|77.65|83.87|6.57|8.14|4.97|0.78|1.01|0.54
AA|2043|5.69|6.99|4.36|80.84|77.77|83.99|6.45|7.96|4.90|0.76|0.98|0.54
AA|2044|5.58|6.84|4.30|80.96|77.88|84.10|6.32|7.79|4.82|0.74|0.96|0.52
AA|2045|5.48|6.70|4.24|81.07|77.99|84.21|6.20|7.62|4.75|0.72|0.93|0.51
AA|2046|5.38|6.56|4.18|81.17|78.10|84.31|6.09|7.47|4.69|0.72|0.92|0.51
AA|2047|5.29|6.43|4.13|81.27|78.20|84.41|5.99|7.32|4.63|0.70|0.90|0.50
AA|2048|5.20|6.31|4.07|81.38|78.30|84.51|5.88|7.17|4.57|0.69|0.87|0.50
AA|2049|5.11|6.18|4.02|81.48|78.41|84.61|5.78|7.03|4.51|0.68|0.86|0.49
AA|2050|5.03|6.06|3.97|81.58|78.51|84.71|5.68|6.88|4.45|0.66|0.82|0.48
AC|1991|22.50|26.13|18.68|72.31|70.50|74.21|27.39|31.68|22.87|5.00|5.70|4.27
AC|1992|22.29|25.89|18.52|72.40|70.59|74.30|27.13|31.39|22.66|4.95|5.65|4.23
AC|1993|22.87|26.57|18.98|72.14|70.34|74.04|27.84|32.21|23.24|5.08|5.79|4.34
AC|1994|22.27|25.87|18.50|72.41|70.60|74.31|27.10|31.36|22.64|4.94|5.64|4.22
AC|1995|22.06|25.62|18.32|72.51|70.70|74.41|26.85|31.06|22.42|4.89|5.58|4.18
AC|1996|20.01|23.21|16.65|73.47|71.65|75.38|24.32|28.11|20.34|4.40|5.02|3.75
AC|1997|21.51|24.97|17.88|72.76|70.95|74.66|26.17|30.27|21.87|4.76|5.44|4.06
AC|1998|21.03|24.41|17.48|72.98|71.17|74.89|25.58|29.58|21.38|4.65|5.30|3.97
AC|1999|23.93|27.81|19.85|71.68|69.87|73.57|29.15|33.74|24.32|5.35|6.10|4.56
AC|2000|19.90|23.09|16.56|73.52|71.70|75.43|24.19|27.96|20.24|4.38|4.99|3.74
AC|2001|20.07|23.28|16.70|73.44|71.62|75.35|24.40|28.20|20.41|4.42|5.04|3.77
AC|2002|18.44|21.37|15.37|74.24|72.40|76.16|22.40|25.87|18.76|4.03|4.60|3.44
AC|2003|19.25|22.31|16.02|73.84|72.01|75.76|23.40|27.02|19.57|4.23|4.82|3.61
AC|2004|22.47|26.09|18.66|72.33|70.52|74.22|27.35|31.64|22.84|4.99|5.70|4.26
AC|2005|21.77|25.28|18.09|72.64|70.83|74.54|26.49|30.64|22.13|4.82|5.50|4.11
